dislikes,hashtags,likes,nickname,title,views
5,"polska,rozrywka,reklama,polonez,lata90,motoryzacja",520,zetzet,Reklama Poloneza (1987) z muzyką z Knight Rider,14.4 tys.
22,"europa,swiat",4138,dobrowolskii,Papież Franciszek o działaniach Władimira Putina: być może skłoniło do...,43.5 tys.
8,"swiat,ukraina,wojna,wielkabrytania",545,Mercurius,Będzie pozew zbiorowy Ukraińców przeciw brytyjskiej minister za skandal z wizami,6.4 tys.
2,"europa,sport,pilkanozna,ukraina,rosja,wojna",2235,Szewczenko,UEFA całkowicie wykluczyła Rosję. Kluby nie zagrają w europejskich pucharach,8.1 tys.
161,"polska,ukraina,rosja,ruskimir,wojna,internet",787,MglawicaKraba,43 portale nadają codziennie antyukraińską propagandę po polsku [raport],13.3 tys.
14,"swiat,rosja,ukraina,wojna,ruskimir,wydarzenia",1579,Szu_,Ukraińcy zniszczyli jednostkę specjalną z Syberii,26.1 tys.
2,"polityka,europa,niemcy,rosja,ukraina,wojna,geopolityka",468,Kolekcjoner_dusz, Szefowa MSZ Niemiec: Nigdy więcej nie możemy polegać na obietnicach Putina,2.9 tys.
7,"filatelistyka,znaczki,ornitologia,ptaki,polska,ciekawostki",352,Lifelike,"""Ptaki polskich parków"" - nowa seria znaczków pocztowych",2.6 tys.
87,"polska,ukraina,wojna,rosja,ciekawostki,ruskimir",504,Wiggum89,Polski ochotnik na wojnie w Ukrainie,19.5 tys.
6,"swiat,rosja,ukraina,wojna,ruskimir,geopolityka",288,Szu_,"Raszyzm w natarciu. ""Zbłąkanych"" Ukraińców nawrócić, resztę wyeliminować",2.2 tys.
1,"bialorus,ukraina,wojna,gospodarka,rosja,finanse",810,Oline,"Tego Łukaszenka nie przewidział. Zamiast zyskać, sporo traci.",11 tys.
19,polska,325,Wirtualnemedia_pl,Jacek Kurski: Skuteczny i cyniczny władca wyobraźni,2.9 tys.
5,"polska,ukraina,wojna,rosja,swiat,ruskimir",549,JanekWianek,"""Rozstrzelali nasze dzieci i zakopali je pod płotem"" -   Relacje świadków",3 tys.
9,"historia,ciekawostkihistoryczne,wojna,histmag,rosja,finlandia",411,jupjupjupek,"Wojna zimowa 1939/1940: jak ""mała"" Finlandia powstrzymała ZSRR",6.3 tys.
